keys,en,ko
Andorra,Andorra,안도라
United Arab Emirates,United Arab Emirates,아랍에미리트
Afghanistan,Afghanistan,아프가니스탄
Antigua and Barbuda,Antigua and Barbuda,앤티가 바부다
Albania,Albania,알바니아
Armenia,Armenia,아르메니아
Angola,Angola,앙골라
Argentina,Argentina,아르헨티나
Austria,Austria,오스트리아
Australia,Australia,호주
Azerbaijan,Azerbaijan,아제르바이잔
Bosnia and Herzegovina,Bosnia and Herzegovina,보스니아 헤르체고비나
Barbados,Barbados,바베이도스
Bangladesh,Bangladesh,방글라데시
Belgium,Belgium,벨기에
Burkina Faso,Burkina Faso,부르키나파소
Bulgaria,Bulgaria,불가리아
Bahrain,Bahrain,바레인
Burundi,Burundi,부룬디
Benin,Benin,베냉
Brunei,Brunei,브루나이
Bolivia,Bolivia,볼리비아
Brazil,Brazil,브라질
Bahamas,Bahamas,바하마
Bhutan,Bhutan,부탄
Botswana,Botswana,보츠와나
Belarus,Belarus,벨라루스
Belize,Belize,벨리즈
Canada,Canada,캐나다
DR Congo,DR Congo,콩고민주공화국
Central African Republic,Central African Republic,중앙아프리카공화국
Congo,Congo,콩고
Switzerland,Switzerland,스위스
Ivory Coast,Ivory Coast,코트디부아르
Chile,Chile,칠레
Cameroon,Cameroon,카메룬
China,China,중국
Colombia,Colombia,콜롬비아
Costa Rica,Costa Rica,코스타리카
Cuba,Cuba,쿠바
Cape Verde,Cape Verde,카보베르데
Cyprus,Cyprus,키프로스
Czechia,Czechia,체코
Germany,Germany,독일
Djibouti,Djibouti,지부티
Denmark,Denmark,덴마크
Dominica,Dominica,도미니카
Dominican Republic,Dominican Republic,도미니카공화국
Algeria,Algeria,알제리
Ecuador,Ecuador,에콰도르
Estonia,Estonia,에스토니아
Egypt,Egypt,이집트
Eritrea,Eritrea,에리트레아
Spain,Spain,스페인
Ethiopia,Ethiopia,에티오피아
Finland,Finland,핀란드
Fiji,Fiji,피지
Micronesia,Micronesia,미크로네시아
France,France,프랑스
Gabon,Gabon,가봉
United Kingdom,United Kingdom,영국
Grenada,Grenada,그레나다
Georgia,Georgia,조지아
Ghana,Ghana,가나
Gambia,Gambia,감비아
Guinea,Guinea,기니
Equatorial Guinea,Equatorial Guinea,적도기니
Greece,Greece,그리스
Guatemala,Guatemala,과테말라
Guinea-Bissau,Guinea-Bissau,기니비사우
Guyana,Guyana,가이아나
Honduras,Honduras,온두라스
Croatia,Croatia,크로아티아
Haiti,Haiti,아이티
Hungary,Hungary,헝가리
Indonesia,Indonesia,인도네시아
Ireland,Ireland,아일랜드
Israel,Israel,이스라엘
India,India,인도
Iraq,Iraq,이라크
Iran,Iran,이란
Iceland,Iceland,아이슬란드
Italy,Italy,이탈리아
Jamaica,Jamaica,자메이카
Jordan,Jordan,요르단
Japan,Japan,일본
Kenya,Kenya,케냐
Kyrgyzstan,Kyrgyzstan,키르기스스탄
Cambodia,Cambodia,캄보디아
Kiribati,Kiribati,키리바시
Comoros,Comoros,코모로
Saint Kitts and Nevis,Saint Kitts and Nevis,세인트키츠 네비스
North Korea,North Korea,북한
South Korea,South Korea,대한민국
Kuwait,Kuwait,쿠웨이트
Kazakhstan,Kazakhstan,카자흐스탄
Laos,Laos,라오스
Lebanon,Lebanon,레바논
Saint Lucia,Saint Lucia,세인트루시아
Liechtenstein,Liechtenstein,리히텐슈타인
Sri Lanka,Sri Lanka,스리랑카
Liberia,Liberia,라이베리아
Lesotho,Lesotho,레소토
Lithuania,Lithuania,리투아니아
Luxembourg,Luxembourg,룩셈부르크
Latvia,Latvia,라트비아
Libya,Libya,리비아
Morocco,Morocco,모로코
Monaco,Monaco,모나코
Moldova,Moldova,몰도바
Montenegro,Montenegro,몬테네그로
Madagascar,Madagascar,마다가스카르
Marshall Islands,Marshall Islands,마셜제도
North Macedonia,North Macedonia,북마케도니아
Mali,Mali,말리
Myanmar,Myanmar,미얀마
Mongolia,Mongolia,몽골
Mauritania,Mauritania,모리타니
Malta,Malta,몰타
Mauritius,Mauritius,모리셔스
Maldives,Maldives,몰디브
Malawi,Malawi,말라위
Mexico,Mexico,멕시코
Malaysia,Malaysia,말레이시아
Mozambique,Mozambique,모잠비크
Namibia,Namibia,나미비아
Niger,Niger,니제르
Nigeria,Nigeria,나이지리아
Nicaragua,Nicaragua,니카라과
Netherlands,Netherlands,네덜란드
Norway,Norway,노르웨이
Nepal,Nepal,네팔
Nauru,Nauru,나우루
New Zealand,New Zealand,뉴질랜드
Oman,Oman,오만
Panama,Panama,파나마
Peru,Peru,페루
Papua New Guinea,Papua New Guinea,파푸아뉴기니
Philippines,Philippines,필리핀
Pakistan,Pakistan,파키스탄
Poland,Poland,폴란드
Portugal,Portugal,포르투갈
Palau,Palau,팔라우
Paraguay,Paraguay,파라과이
Qatar,Qatar,카타르
Romania,Romania,루마니아
Serbia,Serbia,세르비아
Russia,Russia,러시아
Rwanda,Rwanda,르완다
Saudi Arabia,Saudi Arabia,사우디아라비아
Solomon Islands,Solomon Islands,솔로몬제도
Seychelles,Seychelles,세이셸
Sudan,Sudan,수단
Sweden,Sweden,스웨덴
Singapore,Singapore,싱가포르
Slovenia,Slovenia,슬로베니아
Slovakia,Slovakia,슬로바키아
Sierra Leone,Sierra Leone,시에라리온
San Marino,San Marino,산마리노
Senegal,Senegal,세네갈
Somalia,Somalia,소말리아
Suriname,Suriname,수리남
South Sudan,South Sudan,남수단
São Tomé and Príncipe,São Tomé and Príncipe,상투메 프린시페
El Salvador,El Salvador,엘살바도르
Syria,Syria,시리아
Eswatini,Eswatini,에스와티니
Chad,Chad,차드
Togo,Togo,토고
Thailand,Thailand,태국
Tajikistan,Tajikistan,타지키스탄
Timor-Leste,Timor-Leste,동티모르
Turkmenistan,Turkmenistan,투르크메니스탄
Tunisia,Tunisia,튀니지
Tonga,Tonga,통가
Türkiye,Türkiye,튀르키예
Trinidad and Tobago,Trinidad and Tobago,트리니다드 토바고
Tuvalu,Tuvalu,투발루
Tanzania,Tanzania,탄자니아
Ukraine,Ukraine,우크라이나
Uganda,Uganda,우간다
United States,United States,미국
Uruguay,Uruguay,우루과이
Uzbekistan,Uzbekistan,우즈베키스탄
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,세인트빈센트 그레나딘
Venezuela,Venezuela,베네수엘라
Vietnam,Vietnam,베트남
Vanuatu,Vanuatu,바누아투
Samoa,Samoa,사모아
Yemen,Yemen,예멘
South Africa,South Africa,남아프리카공화국
Zambia,Zambia,잠비아
Zimbabwe,Zimbabwe,짐바브웨
